ID;NAME;ADDRESS;TYPE;CATEGORIES;USPs;OwnContributions
"{""$guid"":""13851b01-0dc0-44b9-bbc6-13d79ca34355""}";"""Tagespflegestätte für Senioren Leonie Schröder""";"""Fasanenstrasse 622089 Hamburg Marienthal""";"""DAYCARE""";"[{""Name"":""verschiedene Kursangebote für Senioren""},{""Name"":""Einzelangebote (Betreuung)"",""Description"":null},{""Name"":""angeschlossener ambulanter Pflegedienst"",""Description"":null},{""Name"":""TV-Anschluss im Zimmer"",""Description"":null},{""Name"":""Freizeitangebote"",""Description"":null},{""Name"":""Restaurante"",""Description"":null}]";"[""Auch in pflegerischen Notlagen und Krisensituationen sind wir 24 Stunden für Sie da. Unsere Rufbereitschaft stellt die pflegerische Versorgung auch außerhalb der regelmäßigen Arbeitszeiten sicher."",""Stundenintensive Betreuung und Pflege""]";"[{""Degree"":4,""Amount"":3973.674669151},{""Degree"":3,""Amount"":2382.972550175}]"
"{""$guid"":""16d573b0-5117-44e2-80d7-940b2e173bcb""}";"""Tagespflegestätte für Senioren Dominik Lemann""";"""Landhausstraße 3815872 Eisenhüttenstadt""";"""DAYCARE""";"[{""Name"":""Haustiere vorhanden"",""Description"":null},{""Name"":""Entlastung"",""Description"":null},{""Name"":""Einkaufsservice""},{""Name"":""Spielplatz""},{""Name"":""angeschlossene altersgerechte Wohnformen"",""Description"":null},{""Name"":""Gäste-WC""}]";"[""öffnet Samstag"",""für uns steht der Mensch im Vordergrund"",""Liebevolle, sorgsam ausgewählte und geschulte Betreuungskräfte aus Ihrer Nähe"",""Holen und Bringen in Kooperation mit einem Fahrdienst""]";"[{""Degree"":4,""Amount"":3419.914753954},{""Degree"":2,""Amount"":1812.637702708},{""Degree"":3,""Amount"":2723.449830768}]"
"{""$guid"":""17df85e1-ba07-4c8e-b8ff-1754c0ff54a6""}";"""Tagespflegestätte Franziska Kalb""";"""Hardenbergstraße 3166871 Körborn""";"""DAYCARE""";"[{""Name"":""Behindertengerechtes WC""},{""Name"":""angeschlossene spezielle ambulante Palliativversorgung (SAPV)"",""Description"":null}]";"[""Menschlich"",""Hausnotruf inklusive für unsere Pflegekunden""]";"[{""Degree"":4,""Amount"":3277.721149045},{""Degree"":2,""Amount"":1887.576638319}]"
"{""$guid"":""18aac0a3-2c7b-4296-8b3d-0737133b3b9a""}";"""Tagespflegestätte für Senioren Ralf Grunewald""";"""Landsberger Allee 8080606 München""";"""DAYCARE""";"[{""Name"":""Keller""}]";"[""Auf der Südseite befindet sich ein 3.000 Quadratmeter großer Garten, der ebenfalls zum erholsamen Verweilen einlädt.""]";"[{""Degree"":4,""Amount"":3407.114079994}]"
"{""$guid"":""1a878fa7-4ede-4ce2-ac31-1f6bab568ec8""}";"""Tagespflegestätte für Senioren Silke Scherer""";"""Knesebeckstraße 9546284 Dorsten""";"""DAYCARE""";"[{""Name"":""verschiedene Kursangebote für Senioren""},{""Name"":""Behindertengerechtes WC""},{""Name"":""Telefon- und Internetanschluss im Zimmer"",""Description"":null},{""Name"":""Hospizarbeit"",""Description"":""Begleitung & Betreuung von schwerstkranken, sterbenden Menschen und Ihren Angehörigen.""},{""Name"":""Haustiere nach Absprache""}]";"[""Gerne kommen wir zu Ihnen nach Hause, wenn Sie krank oder eingeschränkt sind und somit Pflege und Hilfe benötigen."",""Im Notfall erreichen Sie uns rund telefonisch rund um die Uhr"",""Liebevolle, sorgsam ausgewählte und geschulte Betreuungskräfte aus Ihrer Nähe""]";"[{""Degree"":4,""Amount"":3972.774663695}]"
"{""$guid"":""1aea1c88-75de-49a2-bfa8-d75e57cf6b7b""}";"""Ambulante Hauskrankenpflege Anja Diederich""";"""Güntzelstrasse 954421 Reinsfeld""";"""AMBULANT""";"[{""Name"":""Betreuungs- und Entlastungsleistungen"",""Description"":""z.B. Begleitung im Alltag und Entlastung pflegender Angehöriger; Die Abrechnung erfolgt über das Budget von 125 Euro im Monat.""},{""Name"":""Hilfe beim Schriftverkehr""},{""Name"":""Essen auf Rädern""},{""Name"":""Concierge/ Pförtner""},{""Name"":""Sportgruppe""},{""Name"":""Behandlungspflege"",""Description"":""Durchführung medizinischer Leistungen nach ärztlicher Anordnung z.B. Medikamentengabe.""}]";"[""ausgebildete Palliativmediziner"",""In den komfortablen Einzelzimmern stehen Ihnen ein elektrisches Pflegebett, ein Nachttisch, ein Schrank und Tisch mit Stühlen und ein eigenes Bad zur Verfügung."",""zeitintensive Betreuung im 1:1 Verhältnis, so kann zum Beispiel die Grundpflege ganz in Ruhe innerhalb von 2 Stunden gemacht werden.""]";"[{""Degree"":2,""Amount"":1081.291640797},{""Degree"":3,""Amount"":2876.979897789}]"
"{""$guid"":""1b0296f9-ee37-4bab-bdef-51fc7f18a542""}";"""Ambulante Hauskrankenpflege Peter Diederich""";"""Schoenebergerstrasse 2918405 Stralsund""";"""AMBULANT""";"[{""Name"":""Demenzbetreuung"",""Description"":""Besondere Betreuung für Demenzerkrankte.""},{""Name"":""Essen auf Rädern / Mittagstisch"",""Description"":""Lieferung eines warmen Mittagessens.""},{""Name"":""Telefon- und Internetanschluss im Zimmer"",""Description"":null}]";"[""Unsere Mitarbeiter erhalten ganzjährig ausgewählte Fort- und Weiterbildungen in Anlehnung an unseren aktuellen Kundenstamm.""]";"[{""Degree"":2,""Amount"":1105.169717854}]"
"{""$guid"":""1bb62a48-06ee-47f7-9209-08c545f748ca""}";"""Tagespflegestätte für Senioren Mike Eiffel""";"""Oldesloer Strasse 7798557 Oberhof""";"""DAYCARE""";"[{""Name"":""Trimm-Dich-Pfad""},{""Name"":""Meer""}]";"[""Ehrenamtliche Mitarbeiter sind für uns sehr wertvoll in der Betreuung der Bewohner. Wir schätzen Ihr Engagement und die Zeit, in der Sie sich individuell den Menschen zuwenden."",""24-h-Erreichbarkeit""]";"[{""Degree"":4,""Amount"":3632.509878782}]"
"{""$guid"":""1c328ba2-f64d-4a51-8fc6-31c96c5dfb5e""}";"""Pflegeeinrichtung Leah Schmitz""";"""Frankfurter Allee 1576131 Karlsruhe Innenstadt-West""";"""STATIONARY""";"[{""Name"":""Freizeitangebote"",""Description"":null},{""Name"":""Pflege im Urlaub"",""Description"":""Pflege für Urlaubsgäste im Hotel oder der Pflegeeinrichtung im Gästebereich.""},{""Name"":""Reinigungsservice""},{""Name"":""WLAN kostenpflichtig"",""Description"":null}]";"[""Betreuung auch im Urlaub und bei Familienfeiern""]";"[{""Degree"":3,""Amount"":2359.895111928}]"
"{""$guid"":""1dbb2db2-11c4-4009-a1c7-7d220be1aee3""}";"""Dirk Bergmann""";"""Hermannstrasse 867165 Waldsee""";"""AMBULANT""";"[{""Name"":""Kapelle""},{""Name"":""Einkaufsmöglichkeiten""}]";[];[]
"{""$guid"":""1e3e5334-458e-478d-b8ff-5190f959a9eb""}";"""Seniorenservice Marko Koehler""";"""Luetzowplatz 654636 Sülm""";"""AMBULANT""";"[{""Name"":""angeschlossenes altersgerechtes Wohnen"",""Description"":null},{""Name"":""Gartenmitbenutzung""},{""Name"":""angeschlossene stationäre Einrichtung"",""Description"":null}]";"[""jahreszeitliche Aktivitäten"",""1""]";"[{""Degree"":2,""Amount"":1651.140917861},{""Degree"":4,""Amount"":3320.757396319}]"
"{""$guid"":""1e751b99-76c3-480e-9d74-d0e2afc98351""}";"""Juliane Reinhard""";"""Brandenburgische Strasse 5576889 Gleiszellen-Gleishorbach""";"""AMBULANT""";[];[];[]
"{""$guid"":""1f7d8f20-138e-46f0-bb25-d122f88b6a4f""}";"""Seniorenservice Marina Farber""";"""Hedemannstasse 5188693 Deggenhausertal""";"""AMBULANT""";"[{""Name"":""angeschlossenes stationäres Pflegeheim"",""Description"":null},{""Name"":""Betreuung bei Demenz"",""Description"":null},{""Name"":""Dusche""}]";"[""Alles aus einer Hand: Betreuung, Pflege,  Beratung, Hausnotruf und Fahrdienst"",""Hausnotruf inklusive für unsere Pflegekunden"",""Demenzbetreuung""]";"[{""Degree"":2,""Amount"":1923.960164969},{""Degree"":4,""Amount"":3251.135952771}]"
"{""$guid"":""2026e2e0-7d61-4b77-8487-5ed01059fae6""}";"""Tagespflegestätte Susanne Zimmerman""";"""Billwerder Neuer Deich 295486 Eckersdorf""";"""DAYCARE""";"[{""Name"":""Haustiere nach Absprache""},{""Name"":""Cafe""},{""Name"":""Keller""},{""Name"":""Sportgruppe""},{""Name"":""Spezielle ambulante palliative Versorgung (SAPV)"",""Description"":""Besondere Pflege sterbenskranker Menschen zur Verbesserung der Lebensqualität.""}]";"[""Nicht weit entfernt gibt es eine Bäckerei, Metzgerei und ein Einzelhandelsgeschäft. Eine Sparkassenfiliale sowie ein Supermarkt sind ebenfalls gut zu Fuß in unserer Nachbarschaft erreichbar.""]";"[{""Degree"":4,""Amount"":3355.834644104}]"
"{""$guid"":""203f1d5a-8628-4e66-ab39-3ec8d03ca80b""}";"""Daniel Eisenhower Klinik""";"""Albrechtstrasse 8894005 Passau""";"""STATIONARY""";"[{""Name"":""Boten- und Behördengänge""},{""Name"":""Kirche"",""Description"":null},{""Name"":""Wachkoma"",""Description"":""Häusliche Pflege für Menschen mit Wachkoma.""}]";"[""Damit Sie sich bei uns wohlfühlen, können Sie Ihr Zimmer mit Ihrem gemütlichen Sessel, der Vitrine mit lieb gewonnenen Erinnerungsstücken und den Bildern Ihrer Familie gestalten."",""Spezielle Angebote für gerontopsychiatrisch und geriatrisch erkrankte Menschen""]";"[{""Degree"":3,""Amount"":2933.600376562},{""Degree"":2,""Amount"":2084.206240989}]"
"{""$guid"":""212fc75d-1d30-47de-84d8-6f982c2c6b35""}";"""Peter Holtzmann""";"""Messedamm 9406053 Halle""";"""AMBULANT""";"[{""Name"":""Cafe""},{""Name"":""angeschlossene Wohngemeinschaft für Demenzerkrankte"",""Description"":null},{""Name"":""angeschlossenes stationäres Pflegeheim"",""Description"":null},{""Name"":""Garten"",""Description"":null},{""Name"":""Sportplatz""},{""Name"":""Sporthalle""},{""Name"":""Sportplatz""}]";[];[]
"{""$guid"":""2131f9bf-907a-4fd6-a937-5c923e9cf4e4""}";"""Tagespflegestätte für Senioren Tom Kuster""";"""Hoheluftchaussee 9304579 Dreiskau-Muckern""";"""DAYCARE""";"[{""Name"":""öffentliche Bibliothek""},{""Name"":""Kirchengemeinde""},{""Name"":""24-h-Pflegekraft vor Ort""},{""Name"":""Facharztbesuche"",""Description"":null},{""Name"":""Gymnastik"",""Description"":null},{""Name"":""Besuchsdienst""}]";"[""Respekt und Wertschätzung"",""Demenzbetreuung"",""Betreuung auch im Urlaub und bei Familienfeiern""]";"[{""Degree"":4,""Amount"":3582.130448349},{""Degree"":3,""Amount"":2659.451234461}]"
"{""$guid"":""21440bf7-3734-4d00-8528-e35b557f24e2""}";"""Tagespflegestätte für Senioren Ursula Hoffmann""";"""Fischerinsel 6141372 Niederkrüchten""";"""DAYCARE""";"[{""Name"":""Sporthalle""},{""Name"":""Betreuungs- und Entlastungsleistungen"",""Description"":""z.B. Begleitung im Alltag und Entlastung pflegender Angehöriger; Die Abrechnung erfolgt über das Budget von 125 Euro im Monat.""},{""Name"":""Beratungsgespräche für Pflegegeldempfänger"",""Description"":""Die verpflichtenden Beratungsbesuch nach § 37.3 SGB XI für Pflegegeldempfänger werden erbracht.""}]";"[""Ehrenamtliche Mitarbeiter sind für uns sehr wertvoll in der Betreuung der Bewohner. Wir schätzen ihr Engagement und die Zeit, in der sie sich individuell den Menschen zuwenden.""]";"[{""Degree"":4,""Amount"":3610.764518432}]"
"{""$guid"":""22c437a8-cba0-43b1-ac96-38606d3bb44d""}";"""Michael Dreher""";"""Hedemannstasse 4688422 Bad Buchau""";"""AMBULANT""";[];[];[]
"{""$guid"":""22da8b33-7135-4a4e-a178-eeffa249d245""}";"""Philipp Friedmann""";"""Holstenwall 7206308 Annarode""";"""AMBULANT""";[];[];[]
"{""$guid"":""2680420f-8360-4843-a826-94f191454d8a""}";"""Ambulante Hauskrankenpflege Jessika Reiniger""";"""Alt Reinickendorf 886371 Krumbach""";"""AMBULANT""";"[{""Name"":""Hospizarbeit"",""Description"":""Begleitung & Betreuung von schwerstkranken, sterbenden Menschen und Ihren Angehörigen.""},{""Name"":""Balkon""},{""Name"":""Rollstuhlgerechte Küche""},{""Name"":""Reinigungsservice""},{""Name"":""Schwimmbad/ Pool"",""Description"":null},{""Name"":""Therapieangebote""},{""Name"":""Essen auf Rädern""},{""Name"":""Einbauküche""},{""Name"":""Demenz geeignet""},{""Name"":""Haustiere vorhanden"",""Description"":null},{""Name"":""Junge Pflege"",""Description"":null},{""Name"":""medizinische fachärztliche Versorgung""}]";"[""Qualitätssiegel Demenz, Grüner Haken und familienfreundlicher Arbeitgeber"",""Kurzzeitpflege"",""10-15 Gehminuten zum Stadtzentrum""]";"[{""Degree"":2,""Amount"":1178.194514093},{""Degree"":3,""Amount"":3173.10659351}]"
"{""$guid"":""28ad8260-dc41-4489-80fc-82c1846e9e11""}";"""Ambulante Hauskrankenpflege Andrea Gerste""";"""Mollstrasse 9797457 Hofheim""";"""AMBULANT""";"[{""Name"":""angeschlossene Tagespflege""},{""Name"":""Beatmungspflege"",""Description"":""Häusliche Pflege für Menschen mit Beatmung.""},{""Name"":""Beratungsgespräche für Pflegegeldempfänger"",""Description"":""Die verpflichtenden Beratungsbesuch nach § 37.3 SGB XI für Pflegegeldempfänger werden erbracht.""},{""Name"":""See""},{""Name"":""Aufzug"",""Description"":null},{""Name"":""Hausnotruf""}]";"[""asd""]";"[{""Degree"":1,""Amount"":1006.134127852}]"
"{""$guid"":""294936c0-a98c-4769-beb3-6dfa9a90cef5""}";"""Tagespflegestätte für Senioren Christina Adler""";"""Knesebeckstraße 1646284 Dorsten""";"""DAYCARE""";"[{""Name"":""Spazier- und Wanderwege""},{""Name"":""Pflege für Menschen mit Behinderung (Psychisch)"",""Description"":null},{""Name"":""Gesprächsangebote"",""Description"":null}]";"[""Pflegeberatung""]";"[{""Degree"":4,""Amount"":3908.361848052}]"
"{""$guid"":""294ab247-3372-4345-8cd1-c0df85db9840""}";"""Tom Theiss Klinik""";"""Motzstr. 755288 Armsheim""";"""STATIONARY""";"[{""Name"":""Fahrdienst"",""Description"":""Abhol- und Rückfahrt-Service.""}]";"[""Kostenfreie Servicegespräche""]";"[{""Degree"":3,""Amount"":2540.900184559}]"
"{""$guid"":""2974ccc0-d060-4ce5-a126-daac62446d82""}";"""Ambulante Hauskrankenpflege Jürgen Neumann""";"""Brandenburgische Str 2456283 Beulich""";"""AMBULANT""";"[{""Name"":""Hilfe bei der Haushaltsführung"",""Description"":""z.B. Reinigung der Wohnung, Wäschepflege, Müllentsorgung.""},{""Name"":""Hausarztbesuche""},{""Name"":""See""},{""Name"":""Wäscheservice""}]";"[""Mahlzeiten""]";"[{""Degree"":1,""Amount"":900.619273959}]"
"{""$guid"":""29b44163-a753-4a36-9022-429b7e0c8d46""}";"""Swen Schulz Klinik""";"""Mollstrasse 665232 Taunusstein""";"""STATIONARY""";"[{""Name"":""Fahr- und Begleitservice""},{""Name"":""Häusliche Pflege"",""Description"":""z.B. Unterstützung bei der Körperpflege, beim Toilettengang.""},{""Name"":""TV-Anschluss im Zimmer"",""Description"":null}]";"[""Schwerpunkt in der Demenzbetreuung""]";"[{""Degree"":3,""Amount"":2750.539327273}]"
"{""$guid"":""2a02ea83-6500-4fc5-88c9-073d3840ded7""}";"""Ambulante Hauskrankenpflege Thomas Bieber""";"""Bayreuther Strasse 9472770 Reutlingen Bronnweiler""";"""AMBULANT""";"[{""Name"":""Pflegeberatung allgemein"",""Description"":""z.B. Beratung zur geeigneten pflegerischen Versorgung und Antragsformalitäten.""},{""Name"":""angeschlossene Tagespflege""},{""Name"":""Hilfe bei der Haushaltsführung"",""Description"":""z.B. Reinigung der Wohnung, Wäschepflege, Müllentsorgung.""},{""Name"":""Besuchsdienst""},{""Name"":""öffentliche Bibliothek""},{""Name"":""Trimm-Dich-Pfad""},{""Name"":""Balkon""},{""Name"":""Meer""}]";"[""Online Pflegekurs: www.johanniter-pflegecoach.de""]";"[{""Degree"":2,""Amount"":1295.119476875}]"
"{""$guid"":""2a737782-595f-4089-b76f-bfbcd18dc028""}";"""Ambulante Hauskrankenpflege Maria Keller""";"""Waldowstr. 1177694 Kehl""";"""AMBULANT""";"[{""Name"":""WLAN kostenlos"",""Description"":null},{""Name"":""WLAN kostenpflichtig"",""Description"":null},{""Name"":""Einzelangebote (Betreuung)"",""Description"":null},{""Name"":""WLAN kostenpflichtig"",""Description"":null},{""Name"":""Probetag"",""Description"":null},{""Name"":""Behindertengerechtes WC""}]";"[""Wir bieten alles aus einer Hand: Betreuung, Pflege,  Beratung, Hausnotruf und vieles mehr."",""Stundenintensive Betreuung und Pflege""]";"[{""Degree"":2,""Amount"":1409.579017157},{""Degree"":3,""Amount"":2505.639236423}]"
"{""$guid"":""2a7a9753-5f05-45c1-bfbf-defa371fdf87""}";"""Seniorenservice Phillipp Austerlitz""";"""Kurfürstendamm 218087 Rostock""";"""AMBULANT""";"[{""Name"":""Garten"",""Description"":null},{""Name"":""Apotheke""},{""Name"":""Begleitung/ Fahrt zum Arzt"",""Description"":null}]";"[""Qualifizierte und motivierte Mitarbeiter"",""Fachpersonal""]";"[{""Degree"":2,""Amount"":1993.128973638},{""Degree"":4,""Amount"":3703.263602198}]"
"{""$guid"":""2b9ae96e-21f2-4854-9fe0-a3466bb34601""}";"""Kristian Eichel Klinik""";"""Genslerstraße 3713347 Berlin Wedding""";"""STATIONARY""";"[{""Name"":""WLAN kostenlos"",""Description"":null},{""Name"":""Badewanne""},{""Name"":""Spezielle psychische Betreuungsleistungen"",""Description"":null},{""Name"":""Dusche""}]";"[""Betreuung auch im Urlaub und bei Familienfeiern"",""pünktlich und bedarfsorientiert""]";"[{""Degree"":3,""Amount"":2485.432055306},{""Degree"":4,""Amount"":3296.886813965}]"
"{""$guid"":""2c601cd9-9ce6-4c49-a542-2b0a0e3fd8a3""}";"""Pflegeeinrichtung Dieter Schwarz""";"""Hermannstrasse 3367240 Bobenheim-Roxheim""";"""STATIONARY""";"[{""Name"":""Gesprächsangebote"",""Description"":null},{""Name"":""angeschlossenes betreutes Wohnen"",""Description"":null},{""Name"":""Gemeindezentrum""}]";"[""Begleitung bei der MDK Begutachtung""]";"[{""Degree"":3,""Amount"":2345.294427055}]"
"{""$guid"":""2ddb551d-83dc-4ac9-8a4d-8bca63b46910""}";"""Pflegeeinrichtung Maximilian Hueber""";"""Leopoldstraße 6813089 Berlin Heinersdorf""";"""STATIONARY""";"[{""Name"":""Cafe"",""Description"":null},{""Name"":""Fahrdienst"",""Description"":""Abhol- und Rückfahrt-Service.""},{""Name"":""Friseur"",""Description"":null}]";"[""Gute personelle Ausstattung"",""Stundenintensive Betreuung und Pflege""]";"[{""Degree"":3,""Amount"":2275.792912592}]"
